,Author,Title,Quote
471,David Deutch,Begining of Infinity,Fallibilism: No reliable means of justifying ideas as true or probable.
472,David Deutch,Begining of Infinity,Conjecture: Opinion or idea form without proof or evidence.
473,David Deutch,Begining of Infinity,"""It is a capital mistake to theorize before one has data."" -Sherlock Holmes in 'A study in Scarlet'"
474,David Deutch,Begining of Infinity,Parochial: Locally true but not globally.
475,David Deutch,Begining of Infinity,"""Science is what we have learned about how to keep from fooling ourselves."" -Richard Feynman"
476,David Deutch,Begining of Infinity,"""My pencil and I are more clever than I"" - Albert Einstein"
477,David Deutch,Begining of Infinity,Problems are inevitable but soluble.
478,David Deutch,Begining of Infinity,Lamarckism : A mistaken evolutionary theory based on the idea that biological adaptations are improvements acquired by an organism during its lifetime and inherited by its descendants.
479,David Deutch,Begining of Infinity,Quale: The subjective aspect of a sensation.
480,David Deutch,Begining of Infinity,There has been no significant progress in the field of artificial general intelligence (AGI) because we do not understand how creativity works.
481,David Deutch,Begining of Infinity,Science is the 'Art of the soluble'
482,David Deutch,Begining of Infinity,"Systems of government should be judged not by their ability to choose and install good leaders, but by their ability to remove bad ones that are already there."
483,David Deutch,Begining of Infinity,"Popper´s criterion: Good political institutions are those who makes it as easy as possible to detect whether a ruler or policy is a mistake, and to remove said rulers or policies without violence when they are. "
484,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,"Magnetic Resonance Imaging (MRI) uses powerful magnets to align the axis of spinning nuclei of hydrogen atoms within a patient's body. These atoms are then zapped with a pulse of radio waves, which forces the aligned nuclei to exist in that strange quantum state of spinning in both directions at once."
485,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,"Lavoisier ""proved"" (demonstrated) that living animals consume oxygen and exhume carbon dioxide, they were having a sort of combustion."
486,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,"All chemical processes involved the exchange of heat and are, at the molecular level, all driven by thermodynamic principles that are based on random motion."
487,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,Chloroplast organelles (cell subunits) perform photosynthesis inside plant cells.
488,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,Werner Heisenberg's Uncertainty Principle remains one of the most important theories in the whole of science and is one of the foundation stones of quantum theory.
489,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,Yeast is single-celled fungi.
490,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,Enzyme is derived from the Greek word for yeast.
491,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,""" Beautiful theory, killed by an ugly fact"" - Thomas Huxley, an evolutionary biologist."
492,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,"""Where in the bird is the laser?"" - Hershbach when shown a laser that could navigate using magnetic fields, and the idea that birds use this phenomena to navigate. "
493,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,Man-made magnets pulses disrupt migratory birds from navigating.
494,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,Some biologists would argue that self-replication is life´s defining future.
495,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,Mutations in DNA are usually less than one in a billion.
496,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,"Mutation rate is not affected by environment or external stressors. For example, bacteria does not evolve protections for the virus if exposed to them. "
497,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,"In an attempt to simulate primordial life conditions, Stanley Miller filled a bottle of water, toppled with gases he thought would be present in the atmosphere (methane, hydrogen, ammonia and water vapor). He then simulated lightning bolt igniting the mixture with electric sparks. After only a week of sparking the primordial atmosphere, significant quantities of amino acids, the building blocks of proteins have appeared. This is called the Miller-Urey experiment"
498,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,"Richard Feynman´s dictum: If we cannot engineer artificial life, we do not understand it. ""What I cannot make, I cannot understand."""
499,Johnjoe McFadden and Jim Al-Khalili,Life on the Edge,"""I do not know what a I may appear to the world, but to myself, I seem only like a boy playing at the seashore, and the diverting myself in now and then finding a prettier shell than the ordinary, while the great ocean of truth lay all undiscovered before me."" - Sir Isaac Newton"
500,Charles Wheelan,Naked Economics,It is estimated that every one dollar increase in the price of gasoline results in additional 1500 motorcycle deaths annually in the US.
501,Charles Wheelan,Naked Economics,"When the Berlin wall fell, it was estimated that East-German car factories actually destroyed value. They took good steel and ruined them by creating shitty cars."
502,Charles Wheelan,Naked Economics,"Mergers are rarely for the benefit of shareholders. They do have a, however, benefit CEOs by driving attention to himself and leave him running a bigger company."
503,Charles Wheelan,Naked Economics,"""Stock options are managerial heroin."" - Michael Jensen, professor at Harward."
504,Charles Wheelan,Naked Economics,"Every single economist polled said the Trump-era tax cut would increase debt, 100%."
505,Charles Wheelan,Naked Economics,All college degrees returns a 10% return on investment.
506,Charles Wheelan,Naked Economics,Rule of 72: take 72 and divide it by the interest rate and you get roughly how long it will take for a quantity to double.
507,Charles Wheelan,Naked Economics,A wealthy man is someone who earns a dollar a year more than his wife's sister's husband.
508,Charles Wheelan,Naked Economics,Only 8% of hedge funds outperformed index funds over a 15-year horizon. 
509,Charles Wheelan,Naked Economics,Studies have shown that people with brain damage are particularly good investors.
510,Charles Wheelan,Naked Economics,Finance exists because capital is scarce.
511,Charles Wheelan,Naked Economics,"Obama stimulus package includes funding from ""green"" golf carts to a polar ice breaker. All due to special interest groups."
512,Charles Wheelan,Naked Economics,A tax shelter is some kind of investment or behavior that would not make sense in the absence of tax considerations.
513,Charles Wheelan,Naked Economics,"When Albert Einstein arrived at Princeton, he was not legally qualified to teach high school physics."
514,Charles Wheelan,Naked Economics,The best predictor of governmental regulation of an industry is the size and position of the professional association for that industry. 
515,Charles Wheelan,Naked Economics,Obama's first spending bill had over 9000 earmarks for special interest groups.
516,Charles Wheelan,Naked Economics,"A lasting and successful marriage is estimated to be worth $100,000 a year."
517,Charles Wheelan,Naked Economics,"In most post-WW2 recessions, Congress did not pass legislation in response to the downturn until after it had ended."
518,Charles Wheelan,Naked Economics,Okum´s law: GDP of 3% will be unemployment unchanged.
519,Charles Wheelan,Naked Economics,Fiat currency is just a fancy way of saying paper money.
520,Charles Wheelan,Naked Economics,"When IMF and World Bank had a joint meeting in Prague, KFC and Pizza Hut ordered replacement glass in advance."
521,Charles Wheelan,Naked Economics,The case for keeping people poor because it's good for the planet is economically and morally bankrupt.
522,Charles Wheelan,Naked Economics,"Tropical climate is bad for food production and conducive for disease, making growth harder. "
523,Charles Wheelan,Naked Economics,"""Anyone who is not a socialist before he is thirty has no heart, and then one who is still Socialist after he is 30 has no head."" -French saying"
524,Charles Wheelan,Naked Economics,"""Diamond´s are a guerrilla´s best friend."" - Paul Collier"
525,N.N. Taleb,Skin in the Game,Being wrong at no cost doesn't count.
526,N.N. Taleb,Skin in the Game,Pathemate mathemata: Learning through pain
527,N.N. Taleb,Skin in the Game,"Dead people don't do drugs, so no incentive to make drugs for high-risk patients."
528,N.N. Taleb,Skin in the Game,Kosher rules are much broader and stricter than Halal.
529,N.N. Taleb,Skin in the Game,McDonald's thrives because they are proportionally less likely to be vetoed in a group setting.
530,N.N. Taleb,Skin in the Game,"Genes follow a majority rule, languages follow the minority rule."
531,N.N. Taleb,Skin in the Game,"Kurt Godel started arguing about the intolerant-tolerant incoherence of the US Constitution during his naturalization exam. Einstein, his witness, saved him."
532,N.N. Taleb,Skin in the Game,The Romans judged their political system by asking not whether it made sense but whether it worked.
533,N.N. Taleb,Skin in the Game,"A free person does not need to win arguments, just win."
534,Matt Ridley,Rational Optimist,"""Aid doesn't work, hasn´t worked, won´t work. It is not part of the solution, it is part of the problem, in fact, it is the problem."" - Dambisa Moyo"
535,Matt Ridley,Rational Optimist,One of the reasons Botswana did well was because it experienced little colonial rule. The British took it to hinder the Germans from taking it.
536,Niall Ferguson,The great Degerneration,"""Inflation is always and everywhere an monetary phenomenon."" - Milton Friedman"
537,Niall Ferguson,The great Degerneration,Stationary state: Coin by Adam Smith when low wages of majority is coupled by an elitist minority.
538,Niall Ferguson,The great Degerneration,"""Institutions are what matters."" - Hernando de Soto"
539,Niall Ferguson,The great Degerneration,The Arab Spring can be seen as a revolt of entrepreneurs against extractive institutions.
540,Niall Ferguson,The great Degerneration,"""The great social contract is not between the state and its citizens, but rather between the generations."" - Paraphrased from Burke"
541,Niall Ferguson,The great Degerneration,Complex regulation is the disease that pretends to be the cure.
542,Niall Ferguson,The great Degerneration,A system that becomes stronger than subjected to perturbations is anti-fragile.
543,Linda Polman,We did Nothing,"Blue helmets are obligated to follow the rules of their host government, even when that government commits acts of genocide."
544,Linda Polman,We did Nothing,"""Governments lie, it is in the nature to do so."" - Mort Rosenblum"
545,Linda Polman,We did Nothing,"""If governments are not deceiving their citizens with a preconceived goal in mind, they are busy deceiving themselves."" - Mort Rosenblum"
546,Gary Hammel,Humanocracy,"Bureaucracy is like Pornography, it's hard to find anyone than won't pretend to be offended by it but there's a lot of it around."" "
547,Gary Hammel,Humanocracy,"Bureaucracy is familiar, complex and systemic, well-defended, serves a purpose and is self-replicating. "
548,Gary Hammel,Humanocracy,"Bureaucracy: from the French bureaucratie, the rule of desks. Coined by Jean-Claude Marie Vincent, a French government Minister in the early 18th century."
549,Gary Hammel,Humanocracy,"""A long habit of not thinking a thing wrong gives it a superficial appearance of being right."" - Thomas Paine"
550,Gary Hammel,Humanocracy,""" We are most alive when we have the experience of mental stimulation, the challenge of new problems to solve, and excitement of venturing into the unknown."" - Edmund Phelps, Nobel laureate"
551,Gary Hammel,Humanocracy,Chinese state-owned enterprises generate 20% of the output but account for 3/4 of all corporate borrowing.
552,Gary Hammel,Humanocracy,Market are decentralized and firms are not by definition.
553,Gary Hammel,Humanocracy,"""When the top guy is the smartest guy in the world, you've got a real problem"" - Former GE staffer to Fortune´s Geoff Colvin"
554,Gary Hammel,Humanocracy,""" Nothing kills your culture like layoffs."" Kelleher, CEO of Southwest Airlines."
555,Gary Hammel,Humanocracy,"""All significant breakthroughs are break-withs old ways of thinking."" - Thomas Kuhn"
556,Gary Hammel,Humanocracy,"Bureaucracies are set up to produce maximally reliable products, not barely working prototypes."
557,Gary Hammel,Humanocracy,"Law of requisite variety: If a system is to remain viable, it must be capable of generating a range of responses as diverse as the challenges posed by its environment."" - Ross Ashby"
558,Gary Hammel,Humanocracy,"""Although centralization reduces deviation from the norm, making things appear to run more smoothly, it magnifies the consequences of those deviations that do occur. It concentrates turmoil in fewer but more severe episodes, which are disproportionately more harmful than the cumulative small variations."" -Taleb/Gergory Treverton"
559,Gary Hammel,Humanocracy,"""One of our principles is to give responsibility to the person that carries out of different task because he knows a lot about it."" - Edouard Michelin (Founder of Michelin tires)"
560,Niall Ferguson,Finansplaneten,60 % av dødsfallene blant men i Jivaro stammen i Ecuador er forårsaket av vold.
561,Niall Ferguson,Finansplaneten,Sølv byen Potosì i Peru var en av de viktigste byene i det spanske imperium med en størrelse på mellom 160 til 200.000 innbyggere. 45.000 tonn med en sølv ble hentet ut fra gruvene derifra.
562,Niall Ferguson,Finansplaneten,"Valer un Potosì : Verdt en Potosì, spansk utrykk for å være verdt en formue. "
563,Niall Ferguson,Finansplaneten,Rente som konsept stammer sannsynligvis fra den naturlige økningen i kvegflokken.
564,Niall Ferguson,Finansplaneten,Kreditt kommer fra latin 'credo' (jeg tror)
565,Niall Ferguson,Finansplaneten,"Liber Abaci : Regne kunsten, bok om regne kunsten av Fibonacci. Fibonacci introduserte 10 talls systemet fra arabia samt dobbel bokføring."
566,Niall Ferguson,Finansplaneten,Banco Rosso: penge utlånere fra Venezia som lånte penger fra sine 'Bancos' (benker)
567,Niall Ferguson,Finansplaneten,Getto kommer fra ordet støpe. Jødene i Venezia måtte bosette seg en tomt med et gammelt støperi kjent som 'Getto Nuovo'
568,Niall Ferguson,Finansplaneten,"""Bankens funksjon er å bevege penger fra A, der de er til til B, der de trengs"" - Lord Rothschild den tredje."
569,Niall Ferguson,Finansplaneten,Condottiere: Leiesoldater i renessansens Italia.
570,Niall Ferguson,Finansplaneten,Monte Commune: Et fjell av kommunal hjelp. Brukt om de italienske bystatenes enorme  obligasjonsgjeld på under rennesansen.
571,Niall Ferguson,Finansplaneten,"""Pengene er vår tids gud, og Rothschild er hans profet."" - Heinrich Heine (1841)"
572,Niall Ferguson,Finansplaneten,Slaget ved Vicksburg i 1863 ble regnet som vendepunktet i den amerikanske borgerkrigen. 
573,Niall Ferguson,Finansplaneten,80 % av Liverpools havne import i 1860 var bomull fra sørstatene.
574,Niall Ferguson,Finansplaneten,"""Seddelpressen er et maskingevær til finans-kommissariatet som pumpet ild inn i bakenden på det borgelige systemet."" - Jergenji Preobrazhenskij"
575,Niall Ferguson,Finansplaneten,"New Orleans ble kalt opp etter hertugdømmet og byen Orleans for å smigre glemt den til Ludvig den 15., duc d'Orleans"
576,Niall Ferguson,Finansplaneten,Lloyd´s-register (Society of Lloyd`s) ble formet på Lloyds kaffestue på Bourbon Street i London. Det var der forsikringer av handelsskip ble avtalt.
577,Niall Ferguson,Finansplaneten,"Spillet monopol ble utviklet av Elisabeth Phillips, tilhenger av den radikale økonomen Henry George. Hensikten med spillet var å avdekke det urettferdige i et samfunnssystem der en liten minoritet eiendomsbesittere profitterte på leien vi mottok fra leieboerne."
578,Niall Ferguson,Finansplaneten,"Syvende mars 1932 marsjerte 5000 arbeidere som var sagt opp av Ford motor Company i det Detriot, da de da de nærmet seg River Range port 4 åpnet agenter og bevæpnet politi ild mot arbeiderne fem av arbeiderne ble drept. Noen dager senere sang 60.000 mennesker internasjonalen i begravelsen deres."
579,Niall Ferguson,Finansplaneten,"Rachmanisme: Huseiernes utbyttende virksomhet, representert ved Peter Rachman som brukte trusler for å kaste ut leietakerne sine."
580,Niall Ferguson,Finansplaneten,"""Den beste måten å rane en bank på er å eie den."" - William Crawford"
581,Niall Ferguson,Finansplaneten,"NINJA-lån: No Incomome, No job or Assets. Veldig risikable lån gitt før finanskrisen i 2007."
582,Niall Ferguson,Finansplaneten,"Da Hernando de Soto prøvde å få tillatelse til å bygge et hus på offentlig grunn, tok det seks år og 11 måneder å få godkjennelse i Peru. Da hadde søknaden vært innom 52 forskjellige offentlige etater."
583,Niall Ferguson,Finansplaneten,"""Eiendomsrett vil til slutt føre til demokrati, for du kan ikke opprettholde et Markedsorientertsystem for omsetning av eiendom om du ikke har et demokratisk system."" - Hernando de Soto"
584,Sean Carrol,Serengeti Rules,Serengeti: Endless plains
585,Sean Carrol,Serengeti Rules,Smallpox is estimated to have killed as many as 300 million people in the first part of the 20th century.
586,Sean Carrol,Serengeti Rules,The average yield of corn has increased from 32 to 145 bushels per acre.
587,Sean Carrol,Serengeti Rules,The concept of suicidal lemmings was invented by a person who had never seen a lemming in his life. He learned about lemmings by translating a book about lemmings in Norweigan. 
588,Sean Carrol,Serengeti Rules,"""The cell adapts its work to its wants. It produces only what it needs when it needs it."" - Francis Jacob"
589,Sean Carrol,Serengeti Rules,"Monod´s double growth curve:  Bacteria must adapt to different foods by making enzymes. When having two different sugars in the petri dish, there was a break in the growth curve of bacteria due to the bacteria switching to a new food."
590,Sean Carrol,Serengeti Rules,There are 200 different types and more than 37 trillion cells in the human body.
591,Sean Carrol,Serengeti Rules,Predators affect/stabilize communities by negatively regulating the population densities of the competitively dominant species.
592,Sean Carrol,Serengeti Rules,Kick it and see biology: remove predators and watch of prey population behave. An example of this was removing wolves from Yellowstone.
593,Sean Carrol,Serengeti Rules,"When otters were decimated by fur hunters on the coast of California, sea-urchin started to multiply and live behind barren lands where there once was kelp forrests. When otters were re-introduced algae forest started to grow again."
594,Sean Carrol,Serengeti Rules,Trophic cascades: strong top-down effect when removing a species from a food chain.
595,Sean Carrol,Serengeti Rules,"Pathogens act as keystone species, disproportionately affecting populations."
596,Sean Carrol,Serengeti Rules,"In Serengeti, animal the body mass correlates negatively with predation, sharp drop in predation levels at around 150 kg for the prey."
597,Sean Carrol,Serengeti Rules,"Predators cannot follow herds, as they are confined to territories to raise and protect their young, therefore migratory prey usually have a larger size than non-migratory."
598,Sean Carrol,Serengeti Rules,"Serengeti rules: 
Keystone species: Not all species are equal. Some species exert effects on the stability of the community that are not proportional to their biomass or numbers.
Some species mediate strong indirect effects through trophic cascades.
Competition: Some species compete for common resources. Species that compete for space, food or habitat can regulate the abundance of other species.
Body size affects mode of regulation. Smaller animals are regulated by predators and larger animals by food supply.
Density: regulation of some species depends upon their density
Migration increases animal numbers by increasing access to food (reducing bottom-up regulation) and decreasing susceptibility to predation (reducing top-down regulation).

"
599,Sean Carrol,Serengeti Rules,Keystone species: Not all species are equal. Some species exert effects on the stability of the community that are not proportional to their biomass or numbers.
600,Sean Carrol,Serengeti Rules,Some species mediate strong indirect effects through trophic cascades.
601,Sean Carrol,Serengeti Rules,"Competition: Some species compete for common resources. Species that compete for space, food or habitat can regulate the abundance of other species."
602,Sean Carrol,Serengeti Rules,Body size affects mode of regulation. Smaller animals are regulated by predators and larger animals by food supply.
603,Sean Carrol,Serengeti Rules,Density: regulation of some species depends upon their density
604,Sean Carrol,Serengeti Rules,Migration increases animal numbers by increasing access to food (reducing bottom-up regulation) and decreasing susceptibility to predation (reducing top-down regulation).
605,Sean Carrol,Serengeti Rules,"""It is failures in the regulation of numbers of animals which form by far the biggest part of present-day economic problems in the field. "" - Charles Elton"
606,Sean Carrol,Serengeti Rules,"In Bangladesh, Vietnam and Cambodia rice provides over 60% of daily calorie intake."
607,Sean Carrol,Serengeti Rules,"In 1976 Indonesia, pestilence swept the rice fields. An insect called brown planthopper devastated the rice fields. 350,000 tons of rice were lost, enough to feed 3 million people over an entire year. When treated with pesticides, the insect population increased 800-fold. This was due to a multitude of factors: 
The insect had evolved resistance to commonly applied pesticides.
The pesticides actually increased the rate of egg-laying by about 2.5 fold
The pesticides killed wolf spiders and other natural predators of the brown planthoppers. Kill the predators and the prey runs amok.

"
608,Sean Carrol,Serengeti Rules,The insect had evolved resistance to commonly applied pesticides.
609,Sean Carrol,Serengeti Rules,The pesticides actually increased the rate of egg-laying by about 2.5 fold
610,Sean Carrol,Serengeti Rules,The pesticides killed wolf spiders and other natural predators of the brown planthoppers. Kill the predators and the prey runs amok.
611,Sean Carrol,Serengeti Rules,"In Ghana Olive Baboons are considered a major pest due to them stealing food from the fields. Consider them a “baboonic” plague :)
A lot of the reason for this was the poaching of the predators that feed on the baboons."
612,Sean Carrol,Serengeti Rules,Limnonology:  The study of lakes.
613,Sean Carrol,Serengeti Rules,Ecosystem carrying capacity: How much animal biomass can be sustained by the food and water present.
614,Sean Carrol,Serengeti Rules,"""Wisdom is the daughter of experience."" - Leonardo da Vinci"
615,Sean Carrol,Serengeti Rules,"""Solutions rests on good science, but implementation rests on good management."" - Bill Foege (epidemiologist credited on the eradication of smallpox campaign) in his book House on Fire."
616,Sean Carrol,Serengeti Rules,"In a meeting in Kenya in 1978 the director-general of the world health organization (WHO) asked Henderson (Donald, in charge of smallpox vaccination) what the next disease to be eradicated was. Henderson grabbed the mic and said the next deceased to be eradicated yes bad management."
617,Sean Carrol,Serengeti Rules,WHO's director-general opposed the smallpox eradication program and even UNICEF refused to fund it.
618,Sean Carrol,Serengeti Rules,"Play the last person to have been affected with smallpox virus in Somalia was healthcare worker Ali Maow Maalin, he had not taken the smallpox vaccine because he was scared of the needle. ""It looked like the shot hurt!"" Maalin now works with the polio vaccination program in Somalia; ""To ensure Somalia will not be the nation with the last polio case."""
619,Scott H. Young,UltraLearning,"""Everyone has a plan until they get punched in the mouth."" - Mike Tyson"
620,Scott H. Young,UltraLearning,"""Now I will have less distraction."" - Leonhard Euler, Mathematician upon losing sight in his right eye."
621,Scott H. Young,UltraLearning,"""Memory is the residue of thought"" - David Willingham, a cognitive psychologist"
622,Scott H. Young,UltraLearning,"Feynman Technique:
Write down the concept or problem you won't understand at the top of a piece of paper.
In the space below, explain the idea did as if you had to teach it to someone else.     
If it is a concept, ask yourself how you would convey the idea to someone who's never heard of it before.
If it is a problem, explain how to solve it and, crucially, why that's solution procedure makes sense.


When you get stuck, meaning your understanding fails to provide a clear answer, go back to your book or test or teacher or reference material to find the answer.

"
623,Scott H. Young,UltraLearning,Write down the concept or problem you won't understand at the top of a piece of paper.
624,Scott H. Young,UltraLearning,"In the space below, explain the idea did as if you had to teach it to someone else.     
If it is a concept, ask yourself how you would convey the idea to someone who's never heard of it before.
If it is a problem, explain how to solve it and, crucially, why that's solution procedure makes sense.

"
625,Scott H. Young,UltraLearning,"If it is a concept, ask yourself how you would convey the idea to someone who's never heard of it before."
626,Scott H. Young,UltraLearning,"If it is a problem, explain how to solve it and, crucially, why that's solution procedure makes sense."
627,Scott H. Young,UltraLearning,"When you get stuck, meaning your understanding fails to provide a clear answer, go back to your book or test or teacher or reference material to find the answer."
628,Scott H. Young,UltraLearning,"The crux of the Feynman technique is that it tries to dispel the illusion of explanatory depth. Many of our understandings are never articulated, it is easy to think you understand something you don't."
629,Scott H. Young,UltraLearning,"Principles of Ultralearning:
Meta-learning: First draw a map of what you want to learn.
Learn how you will learn, do your research on resources and tools that will help you achieve your learning outcome.
Focus: Sharpen your knife. 
Find the time to learn and concentrate.
Directness: Go straight ahead. 
Focus on the thing you want to learn. Remove all secondary and trivial learning activities.
Drill: Attack your weakest point.
Break down complex skills into small parts and focus to improve your weakest points.
Retrieval: Test to learn.
Test yourself before you feel ready. Push yourself to actively recall information rather than possibly review material.
Feedback: Don't dodge the punches. 
Extract the signal from noise, don't be afraid of harsh feedback.
Retention: Don't fill a leaky bucket. 
Understand what you are forgetting and why.
Intuition: Dig deep before building up. Understand how understanding works, not memorization.
Experimentation: Explore outside your comfort zone.
 True understanding comes from exploring and experimenting on your own.

"
630,Scott H. Young,UltraLearning,"Meta-learning: First draw a map of what you want to learn.
Learn how you will learn, do your research on resources and tools that will help you achieve your learning outcome."
631,Scott H. Young,UltraLearning,"Focus: Sharpen your knife. 
Find the time to learn and concentrate."
632,Scott H. Young,UltraLearning,"Directness: Go straight ahead. 
Focus on the thing you want to learn. Remove all secondary and trivial learning activities."
633,Scott H. Young,UltraLearning,"Drill: Attack your weakest point.
Break down complex skills into small parts and focus to improve your weakest points."
634,Scott H. Young,UltraLearning,"Retrieval: Test to learn.
Test yourself before you feel ready. Push yourself to actively recall information rather than possibly review material."
635,Scott H. Young,UltraLearning,"Feedback: Don't dodge the punches. 
Extract the signal from noise, don't be afraid of harsh feedback."
636,Scott H. Young,UltraLearning,"Retention: Don't fill a leaky bucket. 
Understand what you are forgetting and why."
637,Scott H. Young,UltraLearning,"Intuition: Dig deep before building up. Understand how understanding works, not memorization."
638,Scott H. Young,UltraLearning,"Experimentation: Explore outside your comfort zone.
 True understanding comes from exploring and experimenting on your own."
639,Matt Ridley,The Evolution of Everything,Evolution originally meant unfolding.
640,Matt Ridley,The Evolution of Everything,"If there is one dominant myth about the world, it is that we all go around assuming the world is much more of a planned place than it is. "
641,Matt Ridley,The Evolution of Everything,Soviet-Harvard illusion: N.N. Taleb defines the Soviet-Harvard illusion as lecturing birds on flight and thinking about the lecture caused their skill of flying.
642,Matt Ridley,The Evolution of Everything,"""Laws in their most general signification, are necessary relations arising from the nature of things."" - Montesquieu"
643,Matt Ridley,The Evolution of Everything,"Life adapted to the laws of physics, not vice versa. It is therefore laughable to think of the divinity of the creation of life on earth."
644,Matt Ridley,The Evolution of Everything,"""The more prohibitions you have, the less virtuous people will be."" - Lao Tzu, philosopher"
645,Matt Ridley,The Evolution of Everything,"""Participation in Capitalist markets and bourgeois virtues civilized the world."" - Diedre McCloskey"
646,Matt Ridley,The Evolution of Everything,"RNA can both store information (like DNA), and catalyze reactions (like proteins)"
647,Matt Ridley,The Evolution of Everything,"""How does one feed Paris?"" - Rhetorical question posed by Bastiat in Economic Harmonies. He implies that it is impossible to plan such a thing."
648,Matt Ridley,The Evolution of Everything,"For the economy to be anti-fragile, the individual firms must be fragile. The restaurant business is the robust because individual restaurants are short-lived and vulnerable. N.N. Taleb's dictum on business and fragility."
649,Matt Ridley,The Evolution of Everything,Dictum: Noteworthy statement. 
650,Matt Ridley,The Evolution of Everything,"""Things will happen in a well-organized effort without direction, controls or plans. That's the consensus among economists."" - Larry Summers"
651,Matt Ridley,The Evolution of Everything,Trade can be thought of as sex between ideas. The merging of product/thoughts to become better adapted to solve the problem.
652,Matt Ridley,The Evolution of Everything,"""People of the same trade selldom meeet together, even for merriment and diversion, but the conversation ends in a conspiracy against the public or some contrivance to raise prices."" - Adam Smith"
653,Matt Ridley,The Evolution of Everything,"Kryder's law: The cost per performance of a hard disk computer is rising exponentially, at 40 % per year."
654,Matt Ridley,The Evolution of Everything,"If the government spends money on the wrong kind of science, it tends to stop people from working on the right kind of science."
655,Matt Ridley,The Evolution of Everything,"""A puppet is free so long he loves his strings."" - Sam Harris"
656,Matt Ridley,The Evolution of Everything,"Cartesian dualism: Two kinds of foundation, mental and physical. Also known as mind-body dualism or substance dualism."
657,Matt Ridley,The Evolution of Everything,"The modern educational system can be traced back to 1806, after Napoleon defeated Prussia. Prussia then went with intellectual Wilhelm von Hubolt to create a system for educating good soldiers."
658,Matt Ridley,The Evolution of Everything,When Britain started with compulsory education in 1880 almost the entire population was literate (90 % of both sexes in 1870)
659,Matt Ridley,The Evolution of Everything,"In 1877 the British colonial rulers in India, 'created' a family that killed 10 million people. In response to a draught, the government created camps where the hungry were fed with rations containing fewer calories than in Nazi concentration camps."
660,Matt Ridley,The Evolution of Everything,"General William Draper, head of the commission on foreign aid reported to Eisenhower in 1959 that age should be tied explicitly to birth control, in order to decrease the supply of recruits to communism. Neither Eisenhower nor his successor Kennedy brought into this idea. However, Draper and his allies got endorsed in 1966 by Lyndon B. Johnson and population control became an official part of the US aid budget."
661,Matt Ridley,The Evolution of Everything,Indira Gandhi had to implement sterilization campaigns to receive aid from the US. 8 million Indians were sterilized as a consequence.
662,Matt Ridley,The Evolution of Everything,Childbirth and hunger/diseases are classic cases of backward causality. Higher childbirth rates are a cause of high child death rates. 
663,Matt Ridley,The Evolution of Everything,Epiphenomena: Secondary effect or by-product.
664,Matt Ridley,The Evolution of Everything,Effrontery: Insolent or impertinent behavior.
665,Matt Ridley,The Evolution of Everything,Gresham's law: Bad money drives out good. The coin of cheaper metals will replace coins of more expensive metals.
666,Matt Ridley,The Evolution of Everything,"""Carolinas in the spring is a paradise, in the summer hell and in the autumn a hospital."" - German visitor to the Carolinas before the revolutionary war. The Carolinas were known for being infested with malaria-bearing mosquitos. "
667,Matt Ridley,The Evolution of Everything,"The use of a central bank as a lender of last resort creates a moral hazard for the financial system, in which firms have a lender of last resort who will be able to bail them out."
668,Matt Ridley,The Evolution of Everything,The use of the US federal reserve policy of driving down interest rates to keep the stock market afloat and save Wall Street after the dot-com bust was the single biggest cause of the housing market bubble. The so-called Greenspan put.
669,Matt Ridley,The Evolution of Everything,"The subprime bubble was a top-down political project, mandated by Congress and implemented by federal corporations(Fannie Mae & Freddie Mac)"
670,Matt Ridley,The Evolution of Everything,"""The Fannie Mae saga demonstrates that once crony capitalism captures the arm of the state, its potential for cancerous growth is truly perilous."" - David Stockman"
671,Matt Ridley,The Evolution of Everything,"Cantillon effect: If central banks pump more money into the economy, the price increase yes uneven/does not happen evenly. Creation on their benefits nose closest to the source. "
672,Matt Ridley,The Evolution of Everything,"In Kenya, people started to use mobile phone minutes as an alternate source of money."
673,Matt Ridley,The Evolution of Everything,"Observe Orient Decide Act (OODA). In dog fights between the Mig-15 and F-85, the superior plane (Mig-15) is constantly lost. The reason for this was that the moving sticks of the Mig-15 were harder to move than F-85, making it harder for the pilot to act on observations. 
-Boyd´s law of iteration: Speed of iteration beats the quality of iteration. "
674,Matt Ridley,The Evolution of Everything,"Le Chateliers principle: If you disturb a chemical equilibrium, the system will adapt to oppose and absorb the change. "
